Timestamp,1. How do you feel about contact tracing for COVID-19?,2. Which of the following methods are acceptable for contact tracing? Select all that apply. ,3. Are you willing to allow the app to collect location data provided the data will be stored locally on your mobile phone? ,"4. Are you willing to share your location data outside of your mobile phone with a trusted party, such as health care providers, in order to know your exposure risk? ","5. Are you willing to share the collected location information with a trusted party, such as the health care providers, if you were to be infected by COVID-19?",6. Which of the following entities do you trust to receive your location data? Select all that apply,7. Which of the following data is admissible to be collected as location data for digital contact tracing of COVID-19? Select all that apply. ,8. What information should the app provide for you to consider it useful?,9. Who do you feel should be notified of your high risk contact with COVID-19 patient(s)? ,10. How frequently do you charge your mobile phone? ,11. Which of the following is usually ON in your mobile phone?,12. Are you willing to charge your mobile phone at least once a day for optimal performance of the digital contact tracing app? 
2020/10/23 2:54:48 PM AST,Health authorities must perform contact tracing and participation is mandatory,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you;Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,"Yes, only anonymously",Yes,Health authorities,Outdoor location data;Indoor location data,Date and time of high risk contacts,Only me,Once every two days,Bluetooth;WiFi;Mobile data,Yes
2020/10/28 2:57:10 PM AST,Health authorities must perform contact tracing and participation is mandatory,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you,Yes,"Yes, only anonymously",Yes,Health authorities;Health care providers,Indoor location data;Location proximity to other app users,Locations of high risk contacts;Date and time of high risk contacts,"People I contacted, health authority, and me",At least once every day,WiFi;Mobile data,Yes
2020/10/28 2:57:19 PM AST,Health authorities must perform contact tracing and participation is voluntary,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you;Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,"Yes, only anonymously","Yes, only anonymously",Health authorities;Health care providers;Private companies;General public,Outdoor location data,Locations of high risk contacts,"People I contacted, health authority, and me",At least once every day,Bluetooth,No
2020/10/28 2:58:08 PM AST,Health authorities must perform contact tracing and participation is mandatory,Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,Yes,Yes,Health authorities;Health care providers,Outdoor location data;Indoor location data;Location proximity to other app users,Locations of high risk contacts;Date and time of high risk contacts,"People I contacted, health authority, and me",At least once every day,Bluetooth;WiFi;Mobile data,Yes
2020/10/28 2:58:58 PM AST,Health authorities must perform contact tracing and participation is mandatory,Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,Yes,Yes,Health authorities;Health care providers,Outdoor location data;Indoor location data;Location proximity to other app users,Locations of high risk contacts;Date and time of high risk contacts,"People I contacted, health authority, and me",At least once every day,Bluetooth;WiFi,Yes
2020/10/28 3:06:07 PM AST,Health authorities should not perform contact tracing,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you;Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,No,"Yes, only anonymously","Yes, only anonymously",None,Location proximity to other app users,A single number that reflects the likelihood of COVID-19 infection,Only me,Once every two days,WiFi;Mobile data,Yes
2020/10/28 3:07:07 PM AST,Health authorities must perform contact tracing and participation is mandatory,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you,No,"Yes, only anonymously","Yes, only anonymously",None,Outdoor location data;Indoor location data,Locations of high risk contacts;Date and time of high risk contacts,Health authority and me,At least once every day,Bluetooth;WiFi;Mobile data,Yes
2020/10/28 3:15:47 PM AST,Health authorities must perform contact tracing and participation is mandatory,Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,"Yes, only anonymously",Yes,Health authorities,Outdoor location data;Location proximity to other app users,A single number that reflects the likelihood of COVID-19 infection,Health authority and me,Once every two days,WiFi;Mobile data,Yes
2020/10/28 3:16:33 PM AST,Health authorities must perform contact tracing and participation is mandatory,Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,"Yes, only anonymously",Yes,Health authorities,Outdoor location data;Location proximity to other app users,A single number that reflects the likelihood of COVID-19 infection,Health authority and me,Once every two days,WiFi;Mobile data,Yes
2020/10/28 3:20:08 PM AST,Health authorities must perform contact tracing and participation is voluntary,Manual contact tracing: Healthcare workers perform contact tracing by interviewing you;Digital contact tracing: Mobile phone performs contact tracing by electronically tracking you,Yes,Yes,Yes,Health authorities;Health care providers,Location proximity to other app users,Locations of high risk contacts;Date and time of high risk contacts,Health authority and me,At least once every day,Bluetooth;WiFi;Mobile data,Yes
